Andhra Pradesh Police,,,
SN,item,count,ref_nos
758,proddatur municipality- construction centre median from janda chettu to gandhi road junction via i- town police station in 25th election ward,1,"115/2017-18-E1, dt.19.08.2017"
759,cc drain at d. no: 36- 92- 242/ m ( police layout ) in srinivasa nagar in ward no: 37 ( hillock area ),1,S.T.No: 30/2016-17/SE (W)/E.E-IV/DB/Dt: 10-08-16 (Item No: 10)
760,construction of cc drain on both sides of old police station road from door no. 10- 2- 64 to 10- 2- 75 in ward no. 10,1,2nd call 8 14TH FINANCE 3.75 LAKHS OLD POLICE STATION
761,installation of solar based wireless traffic signal system at police control room junction in 21st division. ( general funds ) ( 2nd call ),1,E-Procurement Notice No.41/VMC-Engg/CDB/AE/2017-18/Rc.E3-142848/2017
762,construction of major out fall drai nat taraka rama nagar main road via polices quarters upto nh road in 1st division.,1,84/MCR/SFC/2018-19
763,mangalagiri of guntur district- sub work: providing interlocking paver tiles in parking area near canteen.,1,Short tender Notice No.24/2017-18.Date:21/09/2017
764,construction of cement concrete road from 29/ 115 to 29/ 3 beside police station in 33th ward under scsp 2018- 19 in dharmavaram municipality,1,72/2018-19/SCSP/E1
765,providing cc roads to budhavarapu vari street ( anandh sai sweet home ) from police station to ramalayam junction in 19th ward in palacole municipality,1,Roc.No.1425/2018/E1
766,construction of 02 nos. bore well with submersible pump motor near police picket near rajdhar siding under gm unit piparwar area.,1,GM(PPR)/Civil/22-23 / 8199 - 8213
767,construction of 450mm td drain back side of town hall in venkateswara talkies road up to rural police station in 7th ward of tenali municipality,1,6/2016-2017/General - 5
768,mangalagiri of guntur district- supply & fixing of additional vertical roller blinders in ante rooms in all floors.,1,Short tender Notice No.05/2018-19.Date:11/06/2018
769,mangalagiri of guntur district- sub work: providing additional land scapping works & plants ( 2nd call ).,1,Short tender Notice No.53/2017-18.Date:11/10/2017
770,footpath on drain top at kothapet police station road from gunta grounds to bose statue in div. no. 11,1,"ET No.173/2015-16, Item No.05"
771,construction of c. c drain,1,"ET No.173/2015-16, Item No.05"
772,construction of c. c road,1,"565/2017-18, Dt.6.7.17"
773,c. c drain at kothapatnam bus stand opp. c. c. s police station in division no. 7,1,"565/2017-18, Dt.6.7.17"
774,development of landscape works to the central medians where width is more than 3 feet ( 1. 20m ) from old police station road to vasavi chowk in gudivada municipality,1,107/GDV/2017-18
775,installation,4,"A49/2017-18, 10-DB_PHEWD-2020-21-917 dated 11.09.2020, A62/2016-17, 4/2018-19/CE/EE-IX/VUDA, dt.06.06.2018"
776,testing,3,"A49/2017-18, 10-DB_PHEWD-2020-21-917 dated 11.09.2020, A62/2016-17"
777,vijayawada ( stn ),1,A49/2017-18
778,commissioning of 125 kva dg set with acoustic enclosure including amf panel at police commissioner office,1,A49/2017-18
779,mangalagiri of guntur district- sub work:- providing road safety interventions to phq approach road,1,Short tender Notice No.34/2017-18.Date:26/09/2017
780,renovation,1,Short tender Notice No.64/2017-18.Date:01/11/2017
781,extension of ground floor,1,Short tender Notice No.64/2017-18.Date:01/11/2017
782,first floor of police commissioner office,1,Short tender Notice No.64/2017-18.Date:01/11/2017
783,vijayawada of krishna district- sub work: providing glass partitions.,1,Short tender Notice No.64/2017-18.Date:01/11/2017
784,malkajgiri circle,1,GHMC/MKJ/E1/TN/2019-20/47/7
785,surroundings in division no. 140,1,GHMC/MKJ/E1/TN/2019-20/47/7
786,laying of cc road with rmc in internal lanes of old malkajgiri near police station,1,GHMC/MKJ/E1/TN/2019-20/47/7
787,malkajgiri,1,GHMC/MKJ/E1/TN/2019-20/47/7
788,fixing of ms grills to central median from ganesh nagar bridge to vadlapudi,1,T.No.03/2018-19/SE(W)/EE-V/DB Dt.25-04-2018 (Item-07)
789,kurmanapalem police station ( nh5 ) of gajuwaka zone of gvmc.,1,T.No.03/2018-19/SE(W)/EE-V/DB Dt.25-04-2018 (Item-07)
790,mangalagiri of guntur district. sub work: providing pipe culvert at the entrance near nh service road.,1,Short Tender Notice No.22/2017-18.Date:06/07/2017
791,4 openings lift to police commissionerate building at visakhapatnam ( stn ).,1,A62/2016-17
792,4 stops,1,A62/2016-17
793,commissioning of 8 passengers,1,A62/2016-17
794,4 landings,1,A62/2016-17
795,cc drain at d. no: 36- 92- 242/ m ( police layout ) in srinivas nagar in ward no: 37 ( hillock area ),1,S.T.No: 30/2016-17/SE (W)/E.E-IV/DB/Dt: 10-08-2016 (Item No: 09)
796,result for construction of 40m nb lw gb tower foundation,1,03/CD/VM/2025-26
797,horizontal gantry at hill top,1,03/CD/VM/2025-26
798,erection,3,"03/CD/VM/2025-26, NIT No. 04/2020-21/CDT, 28/2022-23/CDT"
799,visakhapatnam for ap police department,1,03/CD/VM/2025-26
800,including,1,03/CD/VM/2025-26
801,anandapuram,1,03/CD/VM/2025-26
802,naupada police station,1,TMC/PRO/PWD-NKPS/1485/23-24
803,under special govt. fund for fixing of bus stop at teen hath naka to hariniwas circle,1,TMC/PRO/PWD-NKPS/1485/23-24
804,mlahar cinema to teen hath naka.,1,TMC/PRO/PWD-NKPS/1485/23-24
805,rajdhar siding junction under gm unit,1,GM(PPR)/Civil/23-24 /5178
806,making temporary watch tower,1,GM(PPR)/Civil/23-24 /5178
807,providing boundary wall at police picket near chp cpp,1,GM(PPR)/Civil/23-24 /5178
808,work of repairing of barrack electrical wiring with fixing of led lights in each corner for safety purpose in amarwadih police picket under magadh ocp in m- s area.,1,GM(M-S)/SO(EnM)/e-NIT/23-24/24
809,rider main at avinashi road from the junction of police quarters flyover starting point to ammankulam near manchester towers,1,e47/2023 (Two Cover)
810,removing,1,e47/2023 (Two Cover)
811,shifting of the existing trunk main,1,e47/2023 (Two Cover)
812,laying of cc road in front of new model police station building ( 1 town ) beside bsnl office in div. no. 31 of ramagundam municipal corporation,1,187/EE/GF/RMC/2021-11
813,construction of compound wall in front of new model police station building ( 1 town ) beside bsnl office in div. no. 31 of ramagundam municipal corporation,1,172/EE/GF/RMC/2021-5
814,supply of 02 nos. multi colour flash light for police ( poli eye- p1- 22 ),1,WCR/94205652200003
815,make similar gem product id:- 5116877- 98575411913,1,WCR/94205652200003
816,cwc office,1,55/2019-20 Dt.17.01.2020
817,tb dam,1,55/2019-20 Dt.17.01.2020
818,syndicate bank,1,55/2019-20 Dt.17.01.2020
819,post office,1,55/2019-20 Dt.17.01.2020
820,improvements to non- residential buildings,1,55/2019-20 Dt.17.01.2020
821,police station of official colony,1,55/2019-20 Dt.17.01.2020
822,medical,1,55/2019-20 Dt.17.01.2020
823,health office,1,55/2019-20 Dt.17.01.2020
824,b type quarters behind police station of t b dam.,1,34/2019-20 Dt.06.11.2019
825,providing new drinking water pipe line to e1 to e4 in official colony,1,34/2019-20 Dt.06.11.2019
826,6 nos baths ) opp krishnalanka police station bundar canal bund in 24th division,1,Rc.No.EE3-143809/2017
827,renovations to public toilets ( sulabha ) ( 12nos toilets,1,Rc.No.EE3-143809/2017
828,construction of major out fall drain at taraka rama nagar,1,610/MCR/General/2018-19/EE-2
829,main road via polices quarters upto nh road in 1st division. ( 2nd call ),1,610/MCR/General/2018-19/EE-2
830,upkeeping of residential,1,SECL/GM/KSM/CIVIL/e-Tender/ 17-18/125 dtd 17/01/18
831,non residential buildings at nehru nagar,1,SECL/GM/KSM/CIVIL/e-Tender/ 17-18/125 dtd 17/01/18
832,cmpdil colony at kusmunda area.,1,SECL/GM/KSM/CIVIL/e-Tender/ 17-18/125 dtd 17/01/18
833,p,2,"DMA/2016-17/OW/WORK_INDENT50950, IENG/CP/M-III/T//04/47/66 Dt.23-8-2013"
834,vacant land at malkapuram.,1,IENG/CP/M-III/T//04/47/66 Dt.23-8-2013
835,providing compound wall to vpt boundary to protect from un-authorised occupation behind malkapuram police station,1,IENG/CP/M-III/T//04/47/66 Dt.23-8-2013
836,t exchange,1,IENG/CP/M-III/T//04/47/66 Dt.23-8-2013
837,providing barrication from rbrh to filter house circle,1,243/SE-II/TTD/2018-19
838,shelters in police complex,1,243/SE-II/TTD/2018-19
839,sapthagiri sathralu areas for srivari brahmothsavams- 2018 at tirumala,1,243/SE-II/TTD/2018-19
840,pac- iv,1,243/SE-II/TTD/2018-19
841,asthanamandapam,1,243/SE-II/TTD/2018-19
842,path way flavours.,1,"Short TN No. 57/2016-17, Dt: 23-01-2017"
843,construction of model police station building at nagarampalem in guntur town of guntur district. sub- work: providing of ms grill fencing,1,"Short TN No. 57/2016-17, Dt: 23-01-2017"
844,providing ms ornamental grill on both sides of central dividers from police island junction to sai baba temple along eluru road of tadepalligudem municipality.,1,"E1/12/2018-19, Dated: 19.09.2018"
845,2 town police station to 3 lights junction in kakinada municipal corporation,1,ROC.NO.10994/2018/E2
846,thermo plastic paint from bnhanugudi center,1,ROC.NO.10994/2018/E2
847,providing steel signage boards,1,ROC.NO.10994/2018/E2
848,upa grant- providing cc pavement,1,133/E1/2018
849,drain from kuppamma house to mitaye subharao house at back side of 2 town police station in 26th ward,1,133/E1/2018
850,mangalagiri of guntur district- sub work: providing aluminum doors,1,Short tender Notice No.59/2017-18.Date:21/10/2017
851,windows on terrace ( 2nd call ).,1,Short tender Notice No.59/2017-18.Date:21/10/2017
852,at district police office building ( ground floor ),1,Short Tender No: 91/2017-18/ Dt: 24-02-2018
853,nellore of spsr nellore district.,2,"Short Tender No: 91/2017-18/ Dt: 24-02-2018, Short Tender No: 92/2017-18/ Dt: 24-02-2018"
854,mangalagiri of guntur district- sub work: providing painting work in fourth floor @ phq building ( 2nd call ).,1,Short tender Notice No.47/2017-18.Date:11/10/2017
855,mangalagiri of guntur district- sub work: providing painting work in ground floor @ phq building ( 2nd call ).,1,Short tender Notice No.46/2017-18.Date:11/10/2017
856,r & b guest house culvert.,1,267/SFC/ATO/MCK
857,fixing of manhole cover ( ms ) opp traffic police station,1,267/SFC/ATO/MCK
858,construction of culvert at irrigation office beside,1,267/SFC/ATO/MCK
859,kurnool ),1,NIT.No.82/16-17 Dt.26-11-2016
860,replacement of the electrical fixtures to government residential quarter no. b/ e- 1 in b- camp in kurnool ( now used as the dy. inspector general of police office,1,NIT.No.82/16-17 Dt.26-11-2016
861,raising of conocorpus plantation in central median of bheemili beach road from marine police station rushikonda to thimmapuram junction including maintenance for a period of 5 months.,1,"Tender Notice No.08/2016-17/SE(P-II)/EE(PL&C), dt:19-10-2016(Item-1)"
862,mangalagiri of guntur district- sub work: providing interloking paver tiles in parking area for cid office staff.,1,Short tender Notice No.26/2017-18.Date:21/09/2017
863,construction of police headquartes at 6th,1,Short tender Notice No.26/2017-18.Date:21/09/2017
864,removal of wet silt,1,42/General Funds/2017-18/Dman
865,police complex & dcms huts back side,1,42/General Funds/2017-18/Dman
866,sludge from vasavi kalyanamandapam to fish market in rf road via municipal complex,1,42/General Funds/2017-18/Dman
867,police guest house ) in srisailam,1,"H3/581/2017 - Development of Soft landscape works at various places (Shopping complex, Sivadeeksha Sibhiralu to Sarvathobhadra, Alankareswara Swamy temple and Police Guest House) in Srisailam"
868,sivadeeksha sibhirams to sarvathobhadra vanam,1,"H3/581/2017 - Development of Soft landscape works at various places (Shopping complex, Sivadeeksha Sibhiralu to Sarvathobhadra, Alankareswara Swamy temple and Police Guest House) in Srisailam"
869,development of soft landscape works at various places ( shopping complex,1,"H3/581/2017 - Development of Soft landscape works at various places (Shopping complex, Sivadeeksha Sibhiralu to Sarvathobhadra, Alankareswara Swamy temple and Police Guest House) in Srisailam"
870,alankareswara swamy temple,1,"H3/581/2017 - Development of Soft landscape works at various places (Shopping complex, Sivadeeksha Sibhiralu to Sarvathobhadra, Alankareswara Swamy temple and Police Guest House) in Srisailam"
871,providing ms ornamental grill on both sides of central dividers from police island junction to srisilavasa car travels along tanuku road of tadepalligudem municipality.,1,"E1/11/2018-19, Dated: 19.09.2018"
872,laying of 250 mm dia a. c pipe line at c. s. s police station back side in zone 7 in ongole municipal corporation,1,787/2017-18. Dt.4.12.2017
873,mangalagiri of guntur district- sub work: providing interlocking paver tiles in parking area for dgp office staff.,1,Short tender Notice No.25/2017-18.Date:21/09/2017
874,mangalagiri of guntur district- sub work: providing picket fencing to lawn,1,Short tender Notice No.51/2017-18.Date:11/10/2017
875,parking area ( 2nd call ).,1,Short tender Notice No.51/2017-18.Date:11/10/2017
876,road widening of existing damaged bt road from srirampuram culvert to ii town police station in ward no: 37 in bhimavaram municipality under 14th fc funds,1,95/BHI/14thFC/2017-18/DB
877,execution of office furniture like partitons,1,Short Tender No: 92/2017-18/ Dt: 24-02-2018
878,at district police office building ( first floor ),1,Short Tender No: 92/2017-18/ Dt: 24-02-2018
879,construction of police head quarters at 6th bn.,1,Short Tender Notice No:20/17-18 Date:06/07/2017
880,mangalagiri of guntur district. sub work: providing drinking water supply lines from filter bed to sump.,1,Short Tender Notice No:20/17-18 Date:06/07/2017
881,providing painting to the kerb walls,1,Short Tender NOtice No: 19/2016-17/SE(W)/EE-V/DB/ Dated: 28-07-2016( ITem No-1)
882,side hand railing from airport junction to gajuwaka police station in national highway in ward no 65 of gajuwaka zone of gvmc,1,Short Tender NOtice No: 19/2016-17/SE(W)/EE-V/DB/ Dated: 28-07-2016( ITem No-1)
883,mangalagiri of guntur district- sub work:- construction of retaining walls in front & rear sides ( 2nd call ).,1,Short tender Notice No.50/2017-18.Date:11/10/2017
884,widening of thummalagunta road to four lane road from l. s. nagar to muthyala reddy palli police station at tirupati ( balance work at vaikuntapuram arch ),1,35/SE-Vedic/TTD/Tpt/2016-17
885,construction of compound wall at ii town police station junction to verternity hospital junction near dsp bunglow main road in e. w. no. 25,1,81/ADN/Mplty/General Funds/2016-17
886,providing 110mm dia hdpe water supply distribution pipe line to police quarters in governor pet 21st division. ( general funds ) ( 3rd call ),1,Rc.No.EE3-123733/2016
887,providing additional panel board for distributing power supply to ac outdoor units at ap police head quarters at 6th bn,1,Short tender Notice No.89/2017-18.Date:27/12/2017
888,3. 3kv/ 440v,1,PE(EnM)/Urimari/e Tender/22-23/60 Dated 07/01/2023
889,repairing,2,"PE(EnM)/Pnd/NIT/2020-21/108, PE(EnM)/Urimari/e Tender/22-23/60 Dated 07/01/2023"
890,rewinding of 250 kva,1,PE(EnM)/Urimari/e Tender/22-23/60 Dated 07/01/2023
891,local si. no. 314 transformer make gec installed at police picket of potanga under urimari ocp.,1,PE(EnM)/Urimari/e Tender/22-23/60 Dated 07/01/2023
892,construction of model police station building at old guntur in guntur town of guntur district. sub- work: providing grill fencing,1,"Short TN No. 58/2016-17, Dt: 23-01-2017"
893,path way flavours,1,"Short TN No. 58/2016-17, Dt: 23-01-2017"
894,providing g. i chain link mesh fencing to the green belt area beside petrol bunk in police quarters road of zone- 1 area.,1,"Tender Notice No.13/2018-19/EE(PL&C/GVMC, Dt:22-09-2018  (Item-5)"
895,providing ms ornamental grill on both sides of central dividers from police island junction to maruthi cycle shop along bhimavaram road of tadepalligudem municipality.,1,"E1/13/2018-19, Dated: 19.09.2018"
896,penuganchiprolu ps premises ( 1no. ),1,A21/2016-17
897,kanchikacherla police quarters premises ( 1no. ),1,A21/2016-17
898,( 5nos. ) control rooms of size 30  x25  at various places viz. nandigama ps premises ( 1no. ),1,A21/2016-17
899,konduru police quarters premises ( 2 nos. ) of krishna district.,1,A21/2016-17
900,construction of prefab structures for ( 1no. ) sub control room of size 40  x25  at nandigama ps premises,1,A21/2016-17
901,vellore districtproviding cement concrete pavement at palaya police station street in panamadangi panchayat for k. v. kuppam block sfc 2023- 24 package no 01.,1,A2/1794/2023
902,10kva gen sets as well as solar power plants at various bops of 12th bn itb police,1,ITBP/12TH/ENGR/TDR/21-22-04-05
903,arm of 125 kva dg sets at bhq,1,ITBP/12TH/ENGR/TDR/21-22-04-05
904,matli,1,ITBP/12TH/ENGR/TDR/21-22-04-05
905,commissioning of music system,1,10-DB_PHEWD-2020-21-917 dated 11.09.2020
906,augmentation of lighting at central sculpture of npm sh: replacement of existing data formatting device at national police memorial.,1,10-DB_PHEWD-2020-21-917 dated 11.09.2020
907,special repairs to ei & shifting of change over switch in govt qtr no. b/ e- 10 in b camp,1,NIT NO. 65/2017-2018   Dt. 13.03.2018
908,kurnool range,1,NIT NO. 65/2017-2018   Dt. 13.03.2018
909,kurnool occupied by the dig of police,1,NIT NO. 65/2017-2018   Dt. 13.03.2018
910,widening,1,Rc.No.EE3-111034/2018
911,providing bt pavement with cold mix process to nethaji bridge approach ( near mahila police station ) in 17th division general funds 1st call,1,Rc.No.EE3-111034/2018
912,construction of ground,1,IENG / CP/EE( East)/T/50
913,first floor building to accommodate harbour police station near h7 junction in port area including construction of septic tank ( 100 users ),1,IENG / CP/EE( East)/T/50
914,construction of paving block road with drainage in subhashchandra bose nagar area from dutta resaturant to marimata temple (police chowki) in municipal council,1,MCM/PWD/NIT3/2017-18
915,dist buldhana.,1,MCM/PWD/NIT3/2017-18
916,annual contractual assistance for water supply at nehru nagar,1,SECL/GM/KSM/CIVIL/e-Tender/ 15-16/86 dtd 01/04/15
917,gm complex of kusmunda area.,1,SECL/GM/KSM/CIVIL/e-Tender/ 15-16/86 dtd 01/04/15
918,cmpdil,2,"SECL/GM/KSM/CIVIL/e-Tender/ 15-16/73 dtd 18/01/16, SECL/GM/KSM/CIVIL/e-Tender/ 15-16/86 dtd 01/04/15"
919,nr buildings,1,SECL/GM/KSM/CIVIL/e-Tender/ 15-16/86 dtd 01/04/15
920,rescue colony,4,"SECL/GM/KSM/CIVIL/ e-Tender/18-19/167 Dt 28/3/19, SECL/GM/KSM/CIVIL/e-Tender/ 15-16/73 dtd 18/01/16, SECL/GM/KSM/CIVIL/e-Tender/ 15-16/86 dtd 01/04/15, SECL/GM/KSM/CIVIL/ e-Tender/19-20/137 dt 27/11/19"
921,establishment of voice connectivity for the proposed office cum residence of director general,1,WBPWD/EEIT/E-NIT- 09/T/2014-2015/2ndcall
922,inspector general of police west bengal at 2 baker road  alipur kolkata27 2ndcal,1,WBPWD/EEIT/E-NIT- 09/T/2014-2015/2ndcall
923,construction of security outpost ( near swarna bharath trust ) at atkuru ( v ) of unguturu ( m ) of vijayawada police commissionerate ( balance civil item & services ) ( 2nd call ).,1,Short Tender Notice No.36/2017-18.Date:10/08/2017
924,estimate cost rs. 20. 00 lakhs,1,"Nit.No. 441/To/Buildings/2018-19 dated 29.12.2018 of EE, PR,Nandyal"
925,providing amenities in the premises of circle inspector of police station building at atmakur village & mandal,1,"Nit.No. 441/To/Buildings/2018-19 dated 29.12.2018 of EE, PR,Nandyal"
926,construction of waiting hall,1,"Nit.No. 441/To/Buildings/2018-19 dated 29.12.2018 of EE, PR,Nandyal"
927,providing wbm road to police colony from dokka chakrapani house d no: 11/ 392- 2 to aluminium factory cross road in ward no: 36 in gudivada municipality,1,140/GDV/Gen/2017-18
928,proddatur municipality- 14th finance commission grants for 2015- 16- shifting of pipe lines across the drain at old ii town police station for road widening.,1,"148/2017-18-E1, dt.25.01.2018"
929,providing temporary decorative lighting with led colour serial sets from rk beach to police mess for buildings & flood lights to statues for cii summit program 2018,1,Short tender notice no.25/17-18/EE(elec):dt.15.02.18(Item 9)
930,providing temporary decorative lighting with led colour serial sets from polic mess to park hotel for buildings & flood lights to statues for cii summit program 2018,1,Short tender notice no.25/17-18/Ee(elec):dt.15.02.18(Item 10)
931,providing murral painting to rcc road traffic dividers from police island junction to towards new r. o. b along eluru road in tadepalligudem town.,1,"E1/82/2018-19, Dated: 09.10.2018"
932,front main gate side.,1,Short Tender Notice No.31/2017-18.Date:26/07/2017
933,mangalagiri of guntur district. sub- work: providing bt road south portico,1,Short Tender Notice No.31/2017-18.Date:26/07/2017
934,construction of cc road from slv slabs to ankki reddy police machine beside mylavaram canal in ward 3 of yerraguntla nagar panchayat under scc 2018- 19,1,65/SC SP/ 2018-19/E1
935,for landscape development on the wide median at tadepalli police sub control near varadhi on nh 16,1,23/PROC/CRDA-14022(102)/4/2018-HO1-LSENV-APCRDA/2nd call
936,development of the fountain structure for the dandellion fountains,1,23/PROC/CRDA-14022(102)/4/2018-HO1-LSENV-APCRDA/2nd call
937,cascades,1,23/PROC/CRDA-14022(102)/4/2018-HO1-LSENV-APCRDA/2nd call
938,d,1,A27/2016-17
939,b,1,A27/2016-17
940,roof leakage,1,A27/2016-17
941,c,1,A27/2016-17
942,urgent repairs to 72 hc/ pc quarrters ( a,1,A27/2016-17
943,e & f blocks ) at taluq police quarters at guntur ( 2nd call ),1,A27/2016-17
944,providing c. c roads from madhusudhana rao house to siva reddy house in police colony 2nd line near ongole minor in pernamitta in division no. 40,1,"1002/2018-19, dt.17.12.18"
945,removal of extra deposited earth along the quarry no. 1 edge guard wall from police picket towards quarry no. 2 under piparwar unit,1,GM(PPR)/Civil/22-23 / 6282 - 96
946,ashok ocp,1,GM(PPR)/Civil/22-23 / 6282 - 96
947,police gani pael in various lane of naheed nagar in ward no. 27,1,AMC/EE/WARD 03/2018/16
948,construction of concrete road near h/ o wahhed nana,1,AMC/EE/WARD 03/2018/16
949,dayyan bhai mubashir bhai,1,AMC/EE/WARD 03/2018/16
950,tiruchanoor for the year 2019- 20,1,81/EE-III/TTD/2019-20
951,miscellaneous arrangements for food counters,1,81/EE-III/TTD/2019-20
952,development of temporary parking areas,1,81/EE-III/TTD/2019-20
953,other urgent nature of works related to police,1,81/EE-III/TTD/2019-20
954,vigilance for brahmotsavams of sri pat,1,81/EE-III/TTD/2019-20
955,providing temporary toilets at accommodation centers to police personnels for dasara festival from 27/ 09/ 2019 to 09/ 10/ 2019 in ae- 2 section at circle- i area.,1,Rc.E6-132072/2019
956,toilets,2,"NIT No. 06/EE/APBD/DB/2019-20/e-proc. Dt.27-07-2019, GM(MS)/SO(EnM)/e-NIT/24-25/03"
957,hyderabad,2,"NIT No. 06/EE/APBD/DB/2019-20/e-proc. Dt.27-07-2019, NIT No.05/EE/APBD/DB/2019-20/e-proc. Dt:27-07-2019"
958,providing security arrangements of construction of police barracks,1,NIT No. 06/EE/APBD/DB/2019-20/e-proc. Dt.27-07-2019
959,other miscellaneous civil works at the residence of hon. ble chief minister of a. p. at lotus pond,1,NIT No. 06/EE/APBD/DB/2019-20/e-proc. Dt.27-07-2019
960,police line of kusmunda area.,1,SECL/GM/KSM/CIVIL/e-Tender/ 15-16/73 dtd 18/01/16
961,white washing,1,SECL/GM/KSM/CIVIL/e-Tender/ 15-16/73 dtd 18/01/16
962,distempering,1,SECL/GM/KSM/CIVIL/e-Tender/ 15-16/73 dtd 18/01/16
963,minor repair works in newly allotted 10 no. b type quarters at nehru nagar,1,SECL/GM/KSM/CIVIL/e-Tender/ 15-16/73 dtd 18/01/16
964,drain from sreedevi house to kumari house near back side of ii town police station in malavya nagar in 26th ward,1,132/E1/2018
965,upa funds- providing cc road,1,132/E1/2018
966,u. b complex,1,"4/2018-19/CE/EE-IX/VUDA, dt.06.06.2018"
967,b- block,1,"4/2018-19/CE/EE-IX/VUDA, dt.06.06.2018"
968,testing & commissioning of 3nos. cassette & 3nos. split a/ c units at cyber crime police station & lab,1,"4/2018-19/CE/EE-IX/VUDA, dt.06.06.2018"
969,visakhapatnam,2,"42/2017-18/CE/EE-II/VUDA, dt:01.11.2017, 4/2018-19/CE/EE-IX/VUDA, dt.06.06.2018"
970,bijinepally,1,T185/2018-19
971,transformation of police stations as citizen friendly service delivery unit at nagarkurnool,1,T185/2018-19
972,veldanda,1,T185/2018-19
973,amrabad,1,T185/2018-19
974,kollapur of nagarkurnool dist ( package- 4 ) ( 2nd call ),1,T185/2018-19
975,kalwakurthy,1,T185/2018-19
976,midgil,1,T185/2018-19
977,general funds 2018- 19: construction of cc drain in police colony from d. no. 22- 886/ 4a,1,611/2018-19/E1
978,22- 886/ 3d to 22- 886/ 9 in div no. 5,1,611/2018-19/E1
979,providing temporary aluminium shelters for police vigilance control rooms,1,336/SE-II/TTD/2018-19
980,additional annadanam shed at employees canteen in rbrh premises during srivari brahmothsavams of 2018 at tirumala ( part- b ),1,336/SE-II/TTD/2018-19
981,providing of cc dividers from ii town police station to irrigation office ep. no. d3/ 1/ 26 at dsp bunglow main road in adoni municipality ( reach i ),1,11/ADN/Mplty/2017-18 Dt. 20.05.2017
982,providing of cc dividers from ii town police station to irrigation office ep. no. d3/ 1/ 26 at dsp bunglow main road in adoni municipality ( reach ii ),1,12/ADN/Mplty/2017-18 Dt. 20.05.2017
983,general grant- extension of pipe line with 100mm dia a. c class- 15 pipes at back side of ii town police station in malavya nagar at 26th ward,1,134/E1/2018
984,restoration of water supply trenches with cold mix process to chirsturajupuram main road from police station to gangireddula dibba junction in 3rd division general funds ( 1st call ),1,Rc.No.EE3-123474/2017
985,mangalagiri of guntur district- sub work: providing interlocking paver tiles in parking area for two weelers & foot path area.,1,Short tender Notice No.27/2017-18.Date:21/09/2017
986,laying of b. t roiad by hot mix process by the side of petrol bunk ( back side of 4th town police staion ) in b. s layout in w. no. 11,1,T.No.26/2016-17/EE II/DT: 23.07.16 (Item No.04)
987,ganesh nimmarjanam 5- 9- 2016- providing reception centre,1,NIT No. 259/NMC/DB/Gen/2016-17 Dt. 30.08.2016
988,police out station,1,NIT No. 259/NMC/DB/Gen/2016-17 Dt. 30.08.2016
989,and water stalls at penna river jaffer saheb canal bridge ranganaykulapet in div no. 52,1,NIT No. 259/NMC/DB/Gen/2016-17 Dt. 30.08.2016
990,converting overhead line power supply into underground cable for feeding power supply to fire station vpa harbour police station h7 junction,1,77/2024-25/IMEE/ELE/EMP/1271 Dt.02.05.2024
991,convent junction area lighting,1,77/2024-25/IMEE/ELE/EMP/1271 Dt.02.05.2024
992,urgent repairs to tirupati- kothapallimitta road at km. 1/ 4- 6 ( near m. r. palli police station ) in tirupati municipal limits of chittoor district ( sh- 68 ),1,NIT No.43/EE/R&B/TPT/2019-20    Dated:04-09-2019
993,71,1,BMC-EED-I-04/2017-18 Dt. 10.7.2017
994,connect the police colony road g/l-59,1,BMC-EED-I-04/2017-18 Dt. 10.7.2017
995,89 at vss nagar in ward no.11,1,BMC-EED-I-04/2017-18 Dt. 10.7.2017
996,88,1,BMC-EED-I-04/2017-18 Dt. 10.7.2017
997,construction of road from g/l-70 to g/l-58,1,BMC-EED-I-04/2017-18 Dt. 10.7.2017
998,open tender enquiry for entering into rate contract towards hiring of ac taxis on monthly payment basis by s. v. p. national police academy for a period of one year,1,12011/5/2015-2016/HS-Motors
999,on south side aob road in port area,1,IENG/EE(SW-E)/9/T/22 Dt.13-06-2012
1000,strengthening of existing road with cement concrete blocks pavement from old harbour police station junction to fci junction,1,IENG/EE(SW-E)/9/T/22 Dt.13-06-2012
1001,development,1,IENG/EE(SW-E)/9/T/22 Dt.13-06-2012
1002,fixing sci pipe laying sewer line etc.,1,14 /AE/CBMSD M-3212/ 2011-12
1003,m o to police colony ahata kidara dg 2011-12 sh c/o manhole providing,1,14 /AE/CBMSD M-3212/ 2011-12
1004,a r,1,14 /AE/CBMSD M-3212/ 2011-12
1005,at model police station building ( first floor ) at nellore rural of spsr nellore district ( 2nd call ),1,Short Tender No: 74/2017-18/ Dt: 16-02-2018
1006,replacement of 110mm dia hdpe pipe line at damaged 100mm dia c. i pipe line at old police station lane in div. no. 12 under ae- 6 section,1,"ET No.53/2017-18, Item No.02"
1007,providing ms ornamental grill on both sides of central dividers from rob ( fort gate medical shop ) to town police station center along kn road of tadepalligudem municipality.,1,"E1/69/2017-18, Dated: 13.11.2017"
1008,providing 250 mm dia pvc distribution pipe line in the place of old existing 300 mm dia rcc pipe line at police station road in 3rd ward,1,"900/2014-E1, DATED 17-10-2016"
1009,rcc slab culvert backside of 2 town police station from jp road to irrigation office in 37th ward in bhimavaram municipality under 13th fc,1,12/BHI/13thCF/2016-17/DB
1010,construction of storm water drain,1,12/BHI/13thCF/2016-17/DB
1011,fixing of air conditioning in lan server room.,1,Short tender Notice No. 76/2017-18.Date:21/11/2017
